R,G,B
251.6090909090909,251.0818181818182,228.05454545454546
252.08,251.56,229.1
252.44,250.95,231.73
251.77,250.83,226.65
250.77,250.6,224.68
250.55,250.11,220.51
249.38,249.21,216.09
249.0,248.98,213.92
248.48181818181817,248.48181818181817,211.79090909090908
249.17,248.93,214.96
248.38,248.3,213.16
248.74,247.88,208.75
247.68,247.21,206.73
247.36,248.24,208.08
246.95,248.03,208.03
246.95454545454547,247.20909090909092,205.1090909090909
247.21,245.35,198.79
245.27,242.11,191.86
245.77,242.57,191.37
243.72,240.72,187.2
243.81,240.21,186.01
243.96,236.84,180.12
242.03,233.4,171.74
252.8181818181818,253.8181818181818,239.8181818181818
252.81,253.81,239.81
252.93,253.93,239.93
253.04,253.14,240.94
253.39,253.39,241.99
253.01,253.31,240.91
252.39,253.39,239.39
252.11818181818182,253.1090909090909,239.11818181818182
252.87,252.27,236.67
254.37,252.06,237.46
253.87,251.88,238.88
253.52,251.92,235.72
252.68,252.71,232.88
221.77,224.35,199.35
180.1909090909091,184.4909090909091,144.61818181818182
217.37,220.8,189.45
249.09,249.2,222.73
238.8,238.98,205.28
234.61,235.9,204.91
233.32,231.92,199.7
247.52,247.22,210.77
248.61,248.67,211.36
248.4,248.37272727272727,211.04545454545453
249.37,248.16,213.15
249.82,247.44,208.51
248.77,247.25,204.69
248.51,247.05,204.09
249.23,247.35,205.65
247.85,247.39,208.19
246.63636363636363,247.45454545454547,205.45454545454547
246.89,245.03,196.95
246.09,243.07,191.15
245.52,242.52,190.32
244.75,241.75,189.89
245.3,241.68,188.9
243.69,236.49,180.29
243.12,233.42,173.86
252.64545454545456,253.64545454545456,239.64545454545456
253.06,253.56,240.56
252.52,253.42,239.02
253.33,253.48,241.08
253.41,253.41,241.41
252.51,253.21,239.61
253.92,252.91,239.01
254.1727272727273,252.20909090909092,239.20909090909092
254.14,252.34,237.14
253.59,252.0,235.8
253.93,251.96,236.96
253.31,251.79,235.27
252.97,252.29,231.87
219.61,221.69,193.78
226.8181818181818,217.57272727272726,161.65454545454546
211.21,205.34,153.39
196.53,191.45,142.74
200.76,195.11,142.82
189.79,191.27,138.66
184.64,187.99,137.9
162.82,171.11,127.07
217.91,218.74,178.28
250.20909090909092,248.15454545454546,209.83636363636364
250.31,248.05,210.9
249.95,247.59,210.11
250.01,248.02,208.82
249.56,247.69,207.31
249.4,247.44,207.53
249.33,247.33,208.25
247.79090909090908,246.15454545454546,203.46363636363637
246.13,244.13,195.13
246.28,243.78,193.76
245.38,242.38,188.98
245.35,242.35,189.17
244.92,241.32,187.72
243.17,237.67,180.77
243.33,234.43,174.98
252.84545454545454,253.8090909090909,239.5909090909091
253.56,253.84,241.26
252.74,253.28,239.86
253.46,253.54,241.34
253.61,253.61,241.85
253.27,253.8,240.69
253.67,252.63,238.39
253.88181818181818,252.01818181818183,237.9
253.74,251.86,236.74
253.46,251.7,235.98
253.39,251.39,236.39
253.49,252.41,233.85
252.31,251.69,230.88
251.7,250.2,229.43
197.65454545454546,203.4,172.8181818181818
192.37,192.25,150.91
198.21,195.07,151.79
188.23,183.78,136.71
197.78,194.54,142.93
206.97,204.53,147.08
197.8,198.15,145.0
161.18,171.26,132.74
248.8272727272727,247.4,207.03636363636363
250.48,247.76,209.73
250.4,248.16,210.08
249.56,247.36,207.94
248.07,247.55,202.22
248.11,247.09,204.25
249.0,246.82,206.69
247.47272727272727,246.38181818181818,201.4909090909091
247.05,245.13,196.31
246.02,243.32,192.78
245.21,242.21,188.81
245.25,242.25,189.05
244.98,241.38,187.74
243.76,237.58,180.92
243.73,234.78,175.04
252.73636363636365,253.64545454545456,239.1
253.02,253.02,241.02
252.73,252.73,240.73
253.26,253.26,241.26
253.53,253.53,242.13
252.94,253.24,240.84
253.16,252.28,237.76
253.5,251.73636363636365,236.6090909090909
253.74,251.74,236.74
253.42,251.42,236.42
253.91,251.95,236.95
253.09,251.89,234.09
253.19,252.19,232.19
252.5,251.9,229.62
251.04545454545453,250.84545454545454,225.44545454545454
251.1,250.1,226.6
250.31,250.34,225.44
249.39,249.61,220.69
218.43,221.68,189.28
158.7,165.95,128.0
191.45,195.33,142.77
180.13,187.6,140.55
205.04545454545453,208.2,168.76363636363635
249.12,247.96,207.75
249.04,247.44,205.24
248.33,247.7,205.55
229.3,229.44,189.15
246.04,243.49,201.07
248.3,247.51,203.67
247.54545454545453,246.54545454545453,200.4
246.95,245.15,196.65
245.8,242.8,191.4
245.01,242.01,188.61
244.5,241.5,188.3
244.52,240.92,187.22
244.25,237.05,180.75
243.25,234.26,173.95
253.24545454545455,253.42727272727274,240.93636363636364
253.53,253.53,241.53
252.96,252.96,240.96
253.92,253.92,241.93
253.53,253.85,241.81
253.17,253.07,239.95
253.39,251.73,236.73
253.42727272727274,252.2,234.6090909090909
253.17,251.97,234.57
253.47,252.28,234.88
253.54,252.38,234.98
253.56,252.4,234.56
252.66,251.77,231.89
251.12,251.04,225.27
250.6909090909091,250.6,220.6727272727273
252.07,249.52,225.78
252.13,249.8,225.36
252.24,250.25,221.99
251.42,249.89,218.81
244.24,241.65,203.92
166.29,173.59,135.54
186.39,192.97,143.06
160.55454545454546,168.5909090909091,127.57272727272728
187.77,193.07,157.19
193.11,194.3,159.41
162.47,169.83,133.91
158.44,166.95,129.15
197.45,202.07,161.16
247.31,247.13,202.22
247.16363636363636,246.20909090909092,198.51818181818183
245.84,243.91,194.7
244.21,241.99,188.73
244.88,241.88,188.8
244.82,241.46,187.7
243.69,239.89,185.56
244.01,238.08,181.34
243.76,235.19,176.46
252.92727272727274,252.92727272727274,240.92727272727274
253.4,253.5,241.3
253.28,253.48,241.08
254.04,253.72,241.67
253.39,253.31,240.93
253.16,252.62,239.05
253.91,252.11,237.13
253.6,252.34545454545454,235.1090909090909
253.32,252.32,234.16
253.14,252.09,233.16
253.47,252.51,232.91
251.89,251.54,231.58
226.19,219.21,201.09
196.22,132.21,135.77
191.1090909090909,104.44545454545455,115.38181818181818
206.38,177.68,163.04
251.11,249.92,223.71
250.81,250.44,222.87
250.21,249.4,215.43
184.47,188.84,157.59
148.04,159.75,124.14
178.2,188.35,141.03
178.1,186.0,139.47272727272727
