R,G,B
40.38181818181818,19.772727272727273,11.172727272727272
27.67,9.26,2.32
24.76,6.56,0.15
23.92,6.09,0.92
21.32,3.64,0.8
17.48,1.85,2.39
96.33636363636364,77.83636363636364,57.58181818181818
195.27,172.3,124.41
196.96,171.91,124.32
195.63,170.8,123.65
192.04,165.66,110.19
235.99,213.47,59.69
244.06363636363636,215.37272727272727,56.518181818181816
237.01,183.57,38.26
247.68,213.85,51.2
249.32,229.92,64.85
221.75,202.7,89.16
243.27,200.5,45.8
238.9,188.43,18.51
59.57272727272727,40.57272727272727,33.57272727272727
96.08,77.53,68.54
163.32,143.07,124.08
122.89,102.17,88.74
52.64,37.9,29.74
13.27,4.62,0.84
9.845454545454546,2.809090909090909,0.4909090909090909
17.06,4.04,1.96
22.54,4.54,2.14
22.48,4.48,2.32
21.28,3.28,1.28
20.6,2.6,2.6
16.80909090909091,2.0090909090909093,1.9363636363636363
124.67,106.32,84.21
198.15,174.89,126.68
198.68,174.7,127.04
173.52,144.5,100.55
136.93,97.85,21.77
231.87272727272727,216.71818181818182,68.76363636363637
246.17,222.25,60.72
233.01,172.56,27.36
241.81,203.43,50.23
220.8,195.99,91.29
231.8,186.47,41.41
227.96,173.98,13.89
103.50909090909092,86.18181818181819,74.25454545454545
166.48,154.23,134.4
153.03,138.21,122.66
13.67,8.48,8.93
2.88,0.94,3.21
0.56,0.57,2.1
0.7181818181818181,0.9181818181818182,2.3545454545454545
3.26,0.71,2.01
9.08,0.83,1.22
12.55,1.24,1.28
17.08,2.09,0.38
20.14,2.2,2.18
18.37272727272727,2.1636363636363636,1.8181818181818181
22.63,12.91,10.01
177.33,160.38,122.58
195.44,173.25,127.75
134.0,113.5,86.07
33.91,8.23,1.98
135.47272727272727,91.86363636363636,16.9
248.21,237.15,76.56
247.9,215.85,53.4
232.11,175.68,39.32
225.05,172.52,37.58
235.75,183.33,37.49
227.06,182.28,28.14
142.13636363636363,125.93636363636364,113.16363636363636
192.57,181.79,168.68
38.53,33.68,33.7
0.55,0.1,1.57
0.69,0.32,1.9
0.88,0.4,2.9
0.34545454545454546,0.0,2.1636363636363636
1.16,0.8,2.92
2.39,0.28,2.6
5.48,0.06,1.73
9.45,0.2,0.18
19.57,2.28,2.46
16.681818181818183,0.9636363636363636,1.5909090909090908
11.47,1.14,2.12
67.49,57.79,46.14
199.51,180.15,138.45
112.59,96.63,76.04
31.78,8.36,2.18
68.94545454545455,30.2,3.2181818181818183
162.54,110.59,20.86
148.52,90.24,19.09
103.75,47.07,18.72
104.43,65.39,45.55
130.41,93.35,60.06
151.51,104.28,47.99
170.63636363636363,158.98181818181817,148.9181818181818
126.06,119.6,112.9
1.6,1.01,3.1
2.51,0.56,2.19
9.3,0.55,0.95
9.59,0.24,1.19
4.336363636363636,0.8272727272727273,1.8818181818181818
2.5,0.58,1.7
2.34,0.46,1.58
3.07,0.34,0.54
6.94,0.02,0.18
12.17,0.44,0.4
11.436363636363636,0.5272727272727272,0.8909090909090909
9.86,0.18,1.06
8.72,1.71,2.94
163.64,146.33,117.34
105.11,88.03,68.03
45.28,18.58,6.9
81.33636363636364,46.17272727272727,25.863636363636363
157.67,138.96,80.25
201.8,180.16,95.73
206.59,165.42,76.41
211.84,154.82,49.71
200.91,143.83,46.47
198.02,155.72,73.0
183.9181818181818,174.79090909090908,165.03636363636363
54.17,52.16,48.37
2.88,0.7,1.33
16.31,3.84,1.99
27.38,4.91,3.95
16.26,1.85,1.1
16.581818181818182,1.0454545454545454,1.5909090909090908
23.61,5.17,2.35
23.81,5.87,3.54
17.91,1.59,2.0
13.56,0.25,0.66
12.01,0.72,0.36
10.89090909090909,0.7909090909090909,0.35454545454545455
10.0,0.31,0.31
11.77,1.15,1.37
26.26,12.2,9.18
41.34,15.5,4.17
89.92,38.56,7.46
106.60909090909091,45.43636363636364,7.754545454545455
104.7,54.99,10.49
213.82,170.81,39.46
206.07,150.71,31.03
171.33,97.45,16.58
158.42,133.69,96.4
71.45,39.54,10.21
153.20909090909092,142.12727272727273,135.53636363636363
5.25,1.2,1.47
18.94,3.68,1.73
34.95,8.57,5.95
36.49,11.9,7.54
23.22,9.35,3.38
68.64545454545454,27.48181818181818,15.836363636363636
58.74,23.07,12.6
74.33,32.98,17.56
64.4,24.41,10.07
43.65,11.57,4.61
28.44,6.19,1.45
24.836363636363636,2.4,2.0454545454545454
26.61,6.26,4.74
21.53,2.48,1.08
19.96,1.48,1.03
10.99,0.63,0.78
12.45,3.33,3.15
102.05454545454545,67.76363636363637,22.581818181818182
112.88,56.67,13.17
129.98,67.05,10.07
182.09,113.28,21.92
208.34,167.83,105.63
220.2,184.36,95.59
106.23,65.5,17.96
108.98181818181818,96.03636363636363,91.67272727272727
14.31,3.4,1.83
35.53,9.59,3.35
48.46,15.84,9.49
23.64,6.62,5.0
109.06,54.74,37.47
85.15454545454546,46.35454545454545,36.945454545454545
65.5,34.86,26.77
126.72,61.83,36.59
159.34,86.01,51.37
148.96,76.22,45.07
