R,G,B
198.06,205.28,187.98
155.78,164.45,148.7
130.97272727272727,145.6090909090909,129.0818181818182
106.3,124.79,106.87
106.1,118.74,103.09
89.27,109.65,93.27
86.57,100.96,81.5
75.98,89.88,77.55
69.61,88.26,79.73
60.40909090909091,81.48181818181818,72.06363636363636
54.36,73.74,63.15
57.81,74.72,64.34
47.18,65.96,60.35
37.3,59.15,54.06
35.0,53.38,52.89
39.37,56.17,56.35
53.22,71.8,70.38
181.13223140495867,189.71074380165288,184.35537190082644
190.87272727272727,196.0090909090909,187.1727272727273
210.97272727272727,213.5,200.23636363636365
207.1,206.75454545454545,194.77272727272728
191.29090909090908,192.0,179.23636363636365
206.9909090909091,205.55454545454546,189.7
223.15454545454546,220.0818181818182,201.42727272727274
218.46280991735537,214.82644628099175,195.5206611570248
211.02727272727273,210.35454545454544,191.03636363636363
204.36363636363637,206.1,187.01818181818183
195.87272727272727,199.12727272727273,180.0090909090909
182.61818181818182,188.72727272727272,171.23636363636365
170.93636363636364,172.75454545454545,155.51818181818183
151.73636363636365,158.13636363636363,142.02727272727273
129.8512396694215,146.21487603305786,132.0495867768595
127.44545454545455,138.03636363636363,121.55454545454545
103.96363636363637,120.30909090909091,105.10909090909091
89.89090909090909,113.6,96.86363636363636
87.27272727272727,102.72727272727273,87.31818181818181
75.07272727272728,93.18181818181819,80.08181818181818
69.52727272727273,89.9,77.89090909090909
62.65289256198347,82.57851239669421,69.11570247933884
54.77272727272727,74.4090909090909,63.14545454545455
61.63636363636363,79.85454545454546,69.94545454545455
48.736363636363635,67.86363636363636,60.8
40.236363636363635,60.663636363636364,54.92727272727273
42.654545454545456,61.35454545454545,56.46363636363636
55.06363636363636,68.35454545454546,65.9
58.09090909090909,71.44545454545455,68.7
248.8272727272727,250.86363636363637,229.2
248.9,250.11,229.11
237.72,237.74,218.58
241.72,240.36,221.75
234.47,232.52,212.84
228.69,225.34,206.83
231.6,227.5,208.81
232.26363636363635,230.8909090909091,210.28181818181818
227.17,226.86,207.27
239.04,237.67,216.61
220.78,220.02,201.15
205.98,206.01,186.17
184.89,186.02,167.53
151.96,160.49,141.11
140.3909090909091,151.52727272727273,135.36363636363637
140.17,146.2,130.95
118.77,132.05,117.82
101.3,117.03,98.99
91.18,106.14,89.9
86.91,103.2,91.0
79.19,95.46,80.26
62.518181818181816,81.15454545454546,66.24545454545455
62.32,79.91,68.54
60.9,73.97,63.85
62.59,75.67,65.7
51.35,69.51,66.04
52.07,67.75,65.34
58.6,73.73,69.47
60.27,78.14,73.46
248.95454545454547,250.94545454545454,229.22727272727272
246.75,248.7,227.09
244.45,243.97,223.53
242.99,243.04,221.92
248.09,249.54,227.6
249.97,251.79,228.97
249.69,250.53,228.84
243.35454545454544,241.6818181818182,220.1818181818182
242.18,240.23,219.02
239.81,239.71,217.74
238.9,239.61,217.34
224.42,226.54,205.56
202.55,205.74,188.84
195.42,193.99,176.63
164.4090909090909,169.0090909090909,152.5818181818182
145.41,152.32,132.37
127.42,136.13,115.72
119.64,126.7,107.67
128.02,131.68,111.9
118.88,125.68,104.4
93.37,104.26,86.88
83.11818181818182,102.11818181818182,89.3
80.69,95.08,84.82
66.53,80.15,73.28
60.63,77.55,74.65
47.14,65.7,61.38
45.52,67.2,60.81
57.06,78.31,70.92
96.65,110.6,100.37
237.5090909090909,238.4090909090909,219.44545454545454
239.41,238.78,218.98
242.18,241.2,220.52
236.09,233.01,212.96
247.47,248.27,226.14
249.22,251.22,228.75
249.36,251.36,229.36
249.5909090909091,251.48181818181817,228.9
249.82,251.33,229.03
244.06,244.54,220.92
241.61,240.76,218.14
244.2,242.32,220.89
232.3,229.81,209.8
214.39,210.66,192.14
177.28181818181818,177.14545454545456,161.86363636363637
157.44,160.26,139.45
140.44,145.58,123.08
124.0,131.29,112.7
105.69,120.53,107.12
90.08,106.46,92.93
93.74,104.22,92.84
98.64545454545454,104.31818181818181,92.66363636363636
92.49,97.49,86.48
69.7,82.45,72.93
63.29,79.6,73.07
51.41,72.44,64.29
42.67,64.31,55.71
54.01,74.97,67.87
65.04,81.95,73.13
239.6727272727273,239.55454545454546,221.72727272727272
247.75,248.14,226.74
245.85,245.85,224.62
246.46,245.62,224.14
239.76,237.74,215.97
249.4,250.6,227.51
249.57,251.55,227.64
248.1727272727273,248.34545454545454,222.95454545454547
244.66,243.65,217.22
247.05,249.05,223.51
245.37,246.36,219.2
240.44,239.03,212.24
226.89,219.29,198.17
212.15,197.97,178.88
190.65454545454546,181.9,162.7
160.61,165.87,146.59
144.37,147.64,125.73
123.48,129.96,114.53
97.46,119.03,104.16
97.77,113.26,98.56
92.69,106.3,93.66
99.22727272727273,105.62727272727273,89.69090909090909
86.44,93.64,79.55
74.51,86.33,75.6
53.68,71.22,60.95
47.64,69.57,58.87
47.72,69.39,59.14
57.27,77.12,66.31
70.67,86.39,75.6
219.6727272727273,217.93636363636364,202.76363636363635
235.45,233.23,214.79
241.46,239.5,218.64
232.27,227.12,207.12
239.02,236.99,214.45
243.1,242.77,218.26
248.67,249.65,226.56
248.93636363636364,250.4909090909091,226.57272727272726
249.87,251.98,227.87
249.55,252.03,228.68
249.36,251.77,227.61
242.9,244.56,215.32
233.36,229.13,203.9
221.92,215.24,195.53
197.62727272727273,190.6,172.12727272727273
169.87,166.1,145.51
141.23,144.46,123.93
123.55,135.51,116.41
108.39,122.67,104.15
97.83,113.29,96.01
90.73,106.07,88.99
89.33636363636364,98.65454545454546,80.94545454545455
82.35,94.69,81.29
79.88,90.54,81.66
67.49,81.42,70.9
54.15,72.75,61.62
56.92,76.03,62.8
75.66,91.46,77.62
103.92,113.5,96.02
246.88181818181818,246.48181818181817,225.62727272727273
245.91,246.04,224.86
245.65,244.59,221.62
246.04,245.53,222.63
247.54,248.14,223.48
249.63,251.14,225.9
249.86,251.53,228.79
249.95454545454547,251.95454545454547,229.7
250.0,252.0,229.84
250.0,252.0,230.06
249.68,251.68,228.48
247.13,250.51,224.21
243.31,244.6,219.49
239.23,234.38,212.41
215.93636363636364,210.8272727272727,187.5818181818182
175.8,168.54,153.27
151.0,157.99,143.72
134.42,144.93,125.23
153.76,148.26,129.51
113.02,123.45,105.31
100.28,114.42,97.81
92.01818181818182,106.73636363636363,92.35454545454546
81.84,100.46,87.68
75.87,87.7,76.99
71.73,85.26,75.9
55.38,72.43,64.58
57.7,75.59,65.13
94.11,105.29,92.16
146.76,153.17,133.25
245.20909090909092,244.54545454545453,223.88181818181818
246.01,246.03,224.21
249.16,250.63,227.24
248.55,251.21,226.6
249.73,251.91,229.06
250.0,252.0,229.28
250.0,252.0,230.06
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.17
249.93,251.93,229.99
246.74,248.73,223.3
232.16,226.85,204.31
222.62727272727273,215.3272727272727,188.97272727272727
185.87,175.69,159.53
144.11,152.43,135.88
126.98,135.67,119.08
122.52,129.1,113.15
127.82,129.78,111.86
133.49,131.11,113.37
104.71818181818182,113.22727272727273,95.31818181818181
96.9,105.02,93.51
79.92,91.62,86.2
60.88,77.35,70.35
53.07,72.92,63.36
61.73,77.22,66.77
126.67,130.37,112.36
198.87,195.48,166.43
246.37190082644628,246.1818181818182,225.3305785123967
248.38181818181818,249.5818181818182,226.77272727272728
249.1090909090909,250.85454545454544,227.0818181818182
249.75454545454545,251.75454545454545,229.04545454545453
250.03636363636363,252.03636363636363,229.94545454545454
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
249.8,252.03636363636363,229.6909090909091
247.57272727272726,250.94545454545454,223.9181818181818
237.24545454545455,236.2,212.22727272727272
215.84297520661158,213.46280991735537,187.5206611570248
185.06363636363636,179.97272727272727,159.25454545454545
155.66363636363636,156.33636363636364,138.11818181818182
149.02727272727273,150.1909090909091,130.34545454545454
157.03636363636363,150.97272727272727,127.16363636363636
133.66363636363636,129.1,109.23636363636363
116.68181818181819,117.27272727272727,98.86363636363636
95.1900826446281,103.47107438016529,87.4297520661157
74.83636363636364,87.36363636363636,75.91818181818182
80.37272727272727,90.81818181818181,82.6
64.88181818181818,81.58181818181818,75.2090909090909
55.127272727272725,75.9,67.7090909090909
56.736363636363635,76.81818181818181,68.22727272727273
98.72727272727273,109.87272727272727,96.45454545454545
123.26363636363637,129.48181818181817,108.7909090909091
249.57272727272726,250.92727272727274,229.02727272727273
249.57,251.57,229.61
250.06,252.04,230.06
249.91,251.91,229.57
249.92,251.92,228.78
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
249.74,252.12,229.34
246.26,251.46,220.14
238.17,233.85,205.39
218.0909090909091,207.94545454545454,183.20909090909092
176.19,173.24,157.21
149.41,155.44,144.42
132.69,146.4,126.38
157.95,155.51,131.55
