R,G,B
217.96,42.56,40.4
215.04,39.76,37.0
215.16,40.16,35.16
215.04,40.04,35.04
214.68,39.68,34.68
216.04,41.04,36.04
212.96,36.0,33.0
177.92,82.12,81.4
100.16,85.36,81.04
113.04,76.64,78.04
140.88,67.76,72.48
188.52,57.96,67.4
184.64,56.92,66.24
182.44,54.64,63.72
169.4,68.36,73.12
137.96,56.12,61.28
130.24,53.88,59.24
197.08,43.48,54.6
201.84,37.96,43.48
203.04,40.4,48.28
203.36,42.56,53.08
203.52,39.64,48.8
199.88,56.0,61.28
184.84,134.64,135.12
190.72,174.92,173.68
196.84,174.4,172.28
171.56,134.08,133.64
161.92,91.96,91.24
158.36,99.08,93.2
151.48,87.6,85.04
149.48,94.12,90.72
143.76,117.92,114.36
75.48,71.64,58.32
46.88,42.16,43.08
91.36,80.96,76.36
100.04,86.24,87.2
181.8,80.6,79.76
213.64,40.44,37.24
215.88,44.0,38.92
217.6,44.76,37.92
217.64,47.36,44.16
218.68,48.36,45.64
218.32,48.16,44.24
219.04,49.0,48.88
217.64,42.84,41.12
216.2,40.96,35.52
214.52,39.52,34.52
214.88,39.88,34.88
215.08,40.08,35.08
215.84,40.84,35.84
211.08,36.12,32.32
174.24,81.52,79.88
126.6,75.52,73.92
182.8,53.68,52.88
146.72,70.12,74.84
183.6,56.64,68.36
182.88,55.64,65.96
144.28,47.64,54.36
119.0,108.6,106.0
161.76,137.48,129.44
119.0,73.56,67.12
197.8,36.68,43.72
198.32,36.04,39.84
200.4,38.4,42.2
201.96,39.68,48.32
201.16,38.2,44.16
206.08,40.0,50.2
209.2,150.16,152.68
225.44,213.24,215.56
218.8,208.64,207.32
206.24,188.72,186.0
195.04,169.04,165.36
180.76,144.88,140.28
169.2,114.64,112.44
150.84,79.12,77.6
144.28,57.68,58.36
98.16,62.28,65.8
84.44,78.44,79.16
175.76,55.48,54.8
120.64,79.92,79.68
181.72,79.84,82.52
212.68,38.44,35.56
216.48,43.12,39.52
216.8,42.92,38.36
217.56,44.0,38.84
218.24,44.72,39.76
217.52,44.76,42.0
218.4,48.8,45.72
216.52,45.0,43.2
216.52,42.12,37.48
216.0,41.0,36.0
216.0,41.0,36.0
216.12,41.12,36.12
215.88,40.88,35.88
210.84,34.68,32.04
176.56,80.76,79.48
99.04,87.16,86.84
93.72,80.08,80.76
142.96,64.4,71.64
185.72,51.52,62.32
181.16,54.72,62.2
167.44,56.28,63.68
99.28,74.24,73.68
116.6,104.76,97.48
56.24,35.0,30.4
97.8,24.4,24.48
188.6,37.96,40.56
197.04,38.32,37.44
186.88,37.56,41.76
189.44,56.76,61.76
209.64,143.44,144.28
168.96,102.64,91.28
182.56,96.52,96.88
173.84,80.28,75.92
174.4,81.72,78.08
179.84,107.56,106.0
186.96,133.56,132.88
185.0,136.0,136.0
179.84,128.08,130.6
181.08,140.56,143.48
185.48,175.64,180.56
151.64,151.28,148.92
116.56,78.36,77.8
106.92,84.0,86.72
180.12,80.76,82.52
212.36,36.56,34.16
216.56,41.76,36.76
217.2,42.2,37.2
217.4,42.4,37.4
217.84,42.84,38.64
217.28,44.88,40.88
217.72,46.64,42.28
217.72,46.2,45.76
216.6,42.12,38.48
216.24,41.24,36.24
216.44,41.44,36.44
215.24,40.24,35.56
214.52,39.52,36.12
211.04,34.56,31.68
177.36,80.84,75.08
129.12,76.12,73.72
194.24,46.28,47.52
144.64,66.2,71.64
186.64,54.72,64.96
185.2,55.44,65.76
191.48,63.24,72.52
183.72,58.92,69.96
156.92,55.24,64.2
131.4,52.76,60.76
89.2,63.52,64.84
177.68,134.32,129.2
202.0,146.16,137.92
198.28,155.04,149.36
