R,G,B
151.34545454545454,111.14545454545454,92.94545454545455
150.85,109.18,90.6
152.33,109.33,90.33
152.24,109.24,90.24
151.68,108.68,90.28
151.3,108.3,91.3
151.24,108.24,89.84
151.39,108.39,89.39
151.11,108.11,89.11
150.65,107.65,89.65
151.45,108.45,91.45
151.43,108.43,90.53
150.84,107.84,90.14
150.01,107.01,90.01
151.48,107.08,88.68
151.1,106.1,87.1
150.94,105.94,86.94
149.85,105.85,87.85
149.22,106.22,89.22
135.6,97.26,98.77
107.64,85.44,111.07
99.14,85.86,98.6
113.53,86.68,85.18
131.79,88.45,87.2
135.38,83.4,81.54
111.19,80.95,75.85
88.49,88.0,88.04
88.26,91.28,88.71
113.1,72.76,65.86
115.3,83.56,58.78
130.71,65.37,51.55
154.1,63.22,52.18
158.99,61.65,46.65
152.73,57.84,45.27
144.49,56.03,44.25
140.56,53.18,44.12
134.13,51.68,41.75
130.76,51.53,45.92
120.98,45.26,42.58
114.18,42.92,43.68
109.54,43.72,47.1
111.2,49.22,51.94
135.77,82.41,76.34
147.14,97.16,86.84
146.43,97.13,82.85
146.6,96.6,83.0
148.24,96.82,83.64
147.91,96.21,83.11
154.65454545454546,109.25454545454545,93.05454545454545
154.52,110.32,92.72
154.95,111.95,92.95
154.88,111.88,92.88
154.19,111.19,92.79
153.33,111.67,94.1
152.63,111.74,93.06
153.64,112.41,93.28
153.34,111.14,90.94
152.97,110.61,91.89
152.56,111.69,93.87
152.5,109.1,94.95
151.39,108.14,93.04
150.29,106.75,89.02
153.23,107.76,89.53
153.0,107.2,88.68
152.63,106.83,89.03
151.35,106.63,88.65
148.55,106.41,92.09
121.34,88.63,98.66
101.61,88.66,100.96
86.07,95.24,96.06
92.77,102.64,99.34
130.73,73.36,83.35
123.39,69.68,81.17
114.79,72.83,75.22
104.28,79.84,92.51
92.49,71.17,75.79
89.81,72.55,77.5
102.06,71.83,61.69
112.93,67.67,58.9
138.97,59.43,50.13
151.96,57.6,48.09
149.73,58.27,52.79
142.46,59.06,56.89
139.71,58.54,55.89
132.73,54.24,54.24
128.22,53.75,56.81
124.96,52.59,58.1
125.37,54.58,62.39
122.32,56.39,60.06
126.66,72.68,67.24
144.41,97.12,84.75
149.65,100.48,88.4
149.79,99.25,84.51
150.4,96.2,83.6
149.23,96.63,83.73
148.92,97.22,84.12
155.0,109.0,93.0
155.2,110.7,93.2
155.24,112.24,93.24
156.04,113.04,94.04
155.57,112.57,94.17
152.3,112.7,94.3
149.71,112.01,93.01
151.35,112.59,93.43
155.18,110.58,89.58
154.78,109.7,91.06
151.69,110.21,92.53
151.18,108.54,91.04
149.79,107.39,89.23
150.97,106.57,87.77
153.07,106.07,88.07
152.72,105.72,87.92
152.29,105.29,89.29
151.48,107.19,89.03
134.32,101.5,102.54
108.65,88.86,105.68
104.63,83.38,94.45
100.19,87.03,89.76
103.59,82.89,91.44
107.43,67.66,85.31
97.9,76.5,99.98
106.51,63.4,80.23
101.39,63.15,89.04
103.17,62.08,73.52
101.88,62.51,73.09
107.73,59.82,60.67
110.62,59.68,60.75
122.58,67.58,66.56
125.04,68.78,64.02
137.92,68.35,60.91
145.65,67.93,71.77
142.59,66.88,69.36
136.85,60.03,61.69
133.69,55.77,57.81
130.25,55.76,57.19
129.66,55.6,57.26
124.7,59.37,59.84
130.5,72.97,69.84
140.15,87.3,81.36
148.62,98.74,88.95
148.55,97.94,84.63
150.2,96.2,85.6
149.39,96.81,84.47
148.13,96.43,83.33
154.2,110.6,92.6
153.14,112.55,92.1
154.05,113.12,91.46
157.15,111.26,91.32
155.65,110.45,90.96
151.3,111.78,91.7
150.36,112.05,92.56
153.96,110.68,93.08
154.98,107.98,87.98
154.32,107.24,88.48
154.71,108.22,90.5
152.1,108.84,89.9
151.41,108.06,88.52
150.85,105.71,87.0
151.96,105.76,89.5
151.66,105.36,89.04
153.02,106.5,86.04
150.35,104.25,89.73
119.87,85.06,103.59
102.95,90.89,116.66
92.74,72.67,90.32
100.2,76.16,95.01
114.81,66.32,77.08
114.9,68.74,85.83
108.01,63.55,85.36
114.62,59.31,76.23
114.03,60.64,80.11
115.63,61.95,75.8
117.16,64.43,69.02
114.59,67.67,69.27
114.75,72.42,73.59
112.66,74.68,71.62
111.73,72.23,63.07
130.44,70.16,59.59
137.55,57.37,53.36
140.83,55.95,54.46
141.35,60.39,56.84
140.4,61.13,58.94
136.93,59.97,61.97
132.78,58.45,65.27
125.34,56.81,66.14
122.85,58.22,64.82
129.48,67.89,69.05
147.37,94.96,84.23
148.11,95.9,84.66
149.4,95.6,88.0
149.14,96.29,87.0
148.56,96.86,83.52
153.3181818181818,109.34545454545454,94.76363636363637
154.76,112.19,93.75
156.08,110.72,90.42
157.36,109.57,90.18
155.49,109.49,89.94
150.9,111.0,90.2
151.9,112.72,90.47
154.75,110.74,89.54
154.84,107.84,88.24
154.0,107.1,88.5
154.56,107.76,90.16
153.62,109.68,91.32
152.49,108.86,89.94
150.6,106.53,88.24
148.97,103.82,87.92
149.7,104.28,88.24
150.83,104.12,85.05
139.05,91.17,95.69
109.82,87.24,110.01
101.81,89.17,103.19
107.58,73.7,84.02
110.96,69.68,86.93
117.08,69.89,82.22
122.48,66.9,78.71
123.57,67.57,79.38
120.22,68.52,84.7
122.82,73.71,87.48
118.54,73.18,78.5
119.31,62.38,65.55
116.97,60.02,65.14
113.78,58.71,63.47
112.3,59.19,59.25
115.39,65.7,57.27
125.4,78.59,56.6
143.93,71.93,63.1
155.65,69.7,74.87
148.76,66.49,69.98
142.76,62.19,63.84
137.64,59.29,59.19
132.47,57.23,59.15
130.24,58.43,60.82
127.99,60.64,62.12
129.19,67.77,64.37
145.28,92.25,80.04
148.39,95.54,83.4
150.95,94.55,86.35
150.62,96.86,88.06
147.7,95.82,83.28
155.54545454545453,109.63636363636364,94.81818181818181
155.8,111.6,92.6
157.39,109.99,92.19
158.02,109.26,91.86
154.16,109.25,89.85
151.75,110.25,88.25
152.99,112.31,88.47
153.86,111.76,88.11
154.76,109.76,91.16
154.42,108.92,91.62
153.76,107.76,91.76
154.31,108.31,92.31
151.63,108.03,90.65
146.91,108.91,88.31
145.57,106.3,86.12
146.08,106.49,86.03
145.66,102.22,88.5
117.42,85.31,107.2
97.47,95.75,115.08
107.28,89.9,97.09
111.85,74.43,82.68
119.56,71.82,78.16
125.05,70.5,74.56
131.92,75.47,75.1
121.72,71.98,71.57
110.12,67.39,72.81
105.64,70.74,77.87
106.64,71.89,73.08
120.9,67.04,73.76
116.36,68.93,71.3
112.16,71.18,68.33
108.9,71.19,61.78
109.9,70.76,55.75
119.83,72.55,50.94
130.85,55.56,49.01
139.79,54.34,52.03
141.29,56.13,52.17
140.62,56.12,48.32
140.62,55.8,48.86
138.52,58.35,50.4
135.01,61.02,55.34
130.78,60.03,58.57
129.04,66.38,64.04
139.16,84.38,75.24
147.41,97.19,82.33
149.55,96.55,82.55
150.38,97.92,85.72
147.18,95.02,83.3
156.25454545454545,110.28181818181818,95.38181818181818
156.8,112.93,94.93
157.3,111.1,92.87
156.27,109.65,91.49
153.81,109.46,89.91
150.95,111.17,88.65
150.95,113.54,91.28
150.51,112.61,91.07
152.88,112.06,92.06
154.51,110.22,91.64
154.06,108.66,90.86
151.34,106.13,91.14
147.72,106.56,88.82
145.77,107.77,84.77
145.38,108.83,84.43
144.83,109.07,81.36
132.18,95.37,97.62
108.35,87.93,111.41
113.99,92.48,103.11
118.48,81.42,86.1
125.73,77.22,76.95
122.75,72.96,71.09
126.21,77.29,73.84
121.37,76.13,69.89
118.55,74.53,66.99
106.54,67.15,63.34
101.33,66.95,63.7
108.75,65.61,61.54
121.62,71.34,64.36
120.03,69.91,72.37
118.26,69.88,72.19
115.95,64.79,62.82
119.04,64.22,55.51
128.81,73.97,53.9
143.18,71.55,61.58
157.39,70.34,77.61
153.14,68.21,75.15
147.23,63.3,70.24
140.91,60.34,68.73
137.42,59.28,67.8
133.85,59.11,66.55
129.31,57.72,66.53
