R,G,B
0.36363636363636365,0.36363636363636365,0.9090909090909091
0.66,0.66,1.4
62.43,67.84,64.24
88.71,132.34,111.4
88.49,132.17,95.14
83.55,120.72,87.6
86.37,131.99,92.5
78.92,118.31,84.32
89.52,136.31,103.07
80.27,115.83,78.03
93.25,144.64,113.92
82.61,121.76,82.85
96.6,146.66,117.19
86.65,131.13,95.73
89.87,136.8,106.1
97.52,152.17,117.93
90.61,134.06,104.42
137.92,167.78,160.37
118.97272727272727,132.9909090909091,132.87272727272727
134.91,133.35,136.11
217.09,230.32,233.56
191.87,201.82,208.05
202.05,215.15,220.98
218.0,229.08,232.34
154.48,159.18,163.6
206.42,214.71,216.69
98.82,110.83,120.27
2.06,0.9,1.55
0.2,0.2,0.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.43636363636363634,0.43636363636363634,0.43636363636363634
2.2,1.12,1.75
65.4,88.58,77.11
95.87,151.99,126.61
93.53,145.15,115.49
81.24,120.97,89.41
94.88,144.63,109.66
78.88,119.96,84.17
98.43,150.39,118.67
84.79,121.84,89.69
99.01,152.61,126.91
83.19,124.75,88.47
92.58,147.03,117.34
81.51,122.02,86.48
86.57,127.32,96.48
89.97,133.55,98.89
89.1,123.93,89.19
145.02,164.18,160.76
122.12727272727273,140.1818181818182,139.73636363636365
130.33,133.96,135.21
207.43,220.45,225.66
199.08,208.1,215.09
223.55,236.4,241.9
220.5,231.04,234.88
151.15,157.13,160.08
223.39,231.15,236.38
98.51,110.7,120.41
2.1,0.9,1.6
0.2,0.2,0.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5757575757575758,0.48484848484848486,0.48484848484848486
2.088888888888889,1.8777777777777778,2.9555555555555557
67.15555555555555,90.4888888888889,68.66666666666667
77.68888888888888,116.72222222222223,83.14444444444445
93.04444444444445,139.62222222222223,107.8
82.0111111111111,120.46666666666667,81.18888888888888
89.68888888888888,135.25555555555556,99.3
81.65555555555555,118.11111111111111,80.37777777777778
89.0,131.64444444444445,97.65555555555555
82.14444444444445,117.57777777777778,80.63333333333334
86.1,135.7,103.11111111111111
79.36666666666666,114.82222222222222,75.76666666666667
84.58888888888889,137.04444444444445,102.15555555555555
81.12222222222222,120.32222222222222,80.37777777777778
87.58888888888889,126.63333333333334,95.11111111111111
88.53333333333333,131.5222222222222,97.74444444444444
86.82222222222222,120.96666666666667,86.75555555555556
134.42222222222222,166.63333333333333,158.11111111111111
114.06060606060606,133.58585858585857,133.0
131.8111111111111,134.32222222222222,136.0222222222222
218.84444444444443,229.82222222222222,235.6
163.3,173.3,180.27777777777777
202.07777777777778,213.67777777777778,219.98888888888888
222.61111111111111,233.1888888888889,237.14444444444445
168.55555555555554,175.13333333333333,178.27777777777777
222.34444444444443,232.4,236.33333333333334
98.25555555555556,110.7,120.67777777777778
1.8222222222222222,1.0333333333333334,1.5666666666666667
0.2,0.2,0.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6818181818181818,0.36363636363636365,0.4090909090909091
2.82,1.11,2.75
68.2,88.4,71.24
79.65,116.81,83.09
92.46,143.91,110.75
80.05,120.1,84.9
94.15,143.45,112.06
77.84,118.39,82.68
96.38,145.61,115.53
80.28,120.26,87.69
100.19,156.14,127.83
87.04,130.93,97.27
94.84,152.71,124.87
86.06,129.6,95.63
91.36,135.88,106.87
97.54,150.7,121.04
88.25,130.53,103.0
136.26,167.29,161.23
115.3,133.6,134.3909090909091
132.04,137.27,138.2
225.39,236.95,243.04
205.54,217.4,222.68
216.05,230.57,233.89
219.6,232.32,235.35
150.09,156.57,160.8
220.19,232.45,235.57
97.59,110.87,120.46
1.3,1.37,1.51
0.2,0.2,0.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5363636363636364,0.42727272727272725,0.45454545454545453
2.36,1.66,1.95
73.49,97.01,82.94
82.57,121.55,89.24
102.93,157.0,126.98
83.15,124.72,90.57
95.11,147.14,116.49
78.84,118.36,80.22
96.01,141.35,108.71
81.27,116.83,82.32
95.4,146.87,117.71
