R,G,B
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
4.68,4.68,2.68
3.4,3.4,1.4
3.16,3.16,1.31
3.32,3.32,1.37
3.0,3.0,1.16
3.0,3.0,1.0
3.0,3.0,1.0
3.0,3.0,1.0
2.2,2.2,0.2
2.3,2.3,0.3
2.1,2.1,0.14
2.04,2.04,0.04
1.92,1.92,0.32
1.6,1.6,1.6
0.64,0.64,0.64
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.02,0.02,0.0
1.46,1.46,0.12
2.86,2.86,1.08
3.33,3.33,1.51
3.8,3.8,1.8
4.04,4.04,2.04
3.08,3.08,1.08
2.36,2.36,0.36
3.0,3.0,1.0
3.0,3.0,1.0
3.0,3.0,1.0
2.94,2.94,1.12
3.58,3.58,1.65
2.12,2.12,0.37
2.04,2.04,0.04
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
4.28,4.28,2.28
4.12,4.12,2.12
3.86,3.86,1.9
2.82,2.82,0.94
3.12,3.12,1.12
3.0,3.0,1.0
3.0,3.0,1.0
3.3,3.3,1.3
2.7,2.7,0.82
2.2,2.2,0.4
1.76,1.76,0.0
0.8,0.8,0.0
0.32,0.32,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.06,0.06,0.0
2.22,2.22,0.6
3.0,3.0,1.0
3.96,3.96,2.04
3.48,3.48,1.48
4.2,4.2,2.2
3.88,3.88,1.88
3.0,3.0,1.0
3.0,3.0,1.0
3.48,3.48,1.48
3.16,3.16,1.16
4.02,4.02,2.04
3.18,3.18,1.24
3.0,3.0,1.0
2.2,2.2,0.32
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
4.36,4.36,2.36
3.66,3.66,1.66
5.02,5.02,3.02
4.0,4.0,2.0
3.0,3.0,1.0
3.0,3.0,1.0
3.0,3.0,1.0
2.82,2.82,0.94
2.14,2.14,0.38
2.0,2.0,0.0
1.56,1.56,0.0
0.36,0.36,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.48,0.48,0.0
2.28,2.28,0.6
3.24,3.24,1.32
3.0,3.0,1.08
3.0,3.0,1.0
3.72,3.72,1.72
4.84,4.84,2.84
3.0,3.0,1.0
3.48,3.48,1.48
4.68,4.68,2.68
4.36,4.36,2.36
3.0,3.0,1.0
3.0,3.0,1.0
3.0,3.0,1.0
2.68,2.68,0.8
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
5.0,5.0,3.0
4.68,4.68,2.68
5.0,5.0,3.0
4.76,4.76,2.76
4.6,4.6,2.6
4.6,4.6,2.6
4.6,4.6,2.6
3.82,3.82,1.82
2.9,2.9,1.06
2.64,2.64,0.8
1.88,1.88,0.0
1.64,1.64,0.96
0.32,0.32,0.32
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.4,0.4,0.0
2.52,2.52,0.52
2.6,2.6,0.68
3.0,3.0,1.0
3.64,3.64,1.64
4.84,4.84,2.84
5.0,5.0,3.0
